,ID,nom,departement,ville,CP,type,NO2_2012,PM10_2012,PM25_2012,geometry
9992,9068,HG Orange Grenadine Chapelais,75,Paris 17,75017,crèche,40.35058434523642,26.451253278087826,16.135824925806375,"c(2.32513343980339, 48.88564463724)"
9993,9069,Multi-Accueil Bonheur des Ours,75,Paris 12,75012,crèche,50.534880965948105,29.99381884455681,19.276589516699318,"c(2.39750531232456, 48.8387493968914)"
9994,9070,MA SUR UN AIR DE POLKA,75,Paris 19,75019,crèche,48.027638750076285,28.97806789875031,18.37130137562752,"c(2.38912852230703, 48.8879563466095)"
9995,9071,CC VILLE rue Bleue 9ème,75,Paris 09,75009,crèche,41.389036480188366,26.733022046983248,16.35910299986601,"c(2.34649690438761, 48.875882547292)"
9996,9072,CC Ville art30  R. Schneider 1,75,Paris 18,75018,crèche,51.33771833181381,30.18161800950765,19.172977095842363,"c(2.36098475362286, 48.8880931461773)"
9997,9073,MA art 30 20 Rungis 13é,75,Paris 13,75013,crèche,36.204607689380644,26.20633645057678,15.985865494608882,"c(2.34697678440783, 48.8221970028084)"
9998,9074,MA CC HG VILLE Reuilly - art.3,75,Paris 12,75012,crèche,67.18943387508392,36.74105962395669,24.811466295719146,"c(2.38554649010965, 48.8489762114679)"
9999,9075,MA VILLE ZAC Rive Gauche 13e,75,Paris 13,75013,crèche,37.38808679580689,26.309695839881893,16.048914849758148,"c(2.36224185602629, 48.8301149910232)"
10000,9076,Multi Accueil  Blanche,75,Paris 09,75009,crèche,57.28181554794312,32.36118268966675,21.141320781707766,"c(2.33168036159121, 48.8782938420104)"
10001,9077,MA Familles et Cité Binet 18è,75,Paris 18,75018,crèche,58.75636114895343,33.37730841755867,21.99015847116709,"c(2.34805611022703, 48.8918450060045)"
10002,9078,Multi-Accueil Fabrique d. Ours,75,Paris 13,75013,crèche,37.10992721840739,26.16706210099161,15.965317824147641,"c(2.36845119093046, 48.822856641438)"
10003,9079,CC KANGOUROU HAUTEVILLE,75,Paris 10,75010,crèche,40.74696838855744,26.465032374858858,16.14366934299469,"c(2.35061532063762, 48.8740506323863)"
